"wellN","PN1","PN2","PN3","PN4","PN5","PN6","PN7","PN8","PN9","PN10","PN11","PN12","PN13","PN14","PN15","PN16","PN17","PN18","PN19","PN20","PN21","PN22","PN23","PN24","PN25","PN26","PN27","PN28","PN29","PN30","PN31","PN32","PN33","PN34","PN35","PN36","PN37","PN38","PN39","PN40","PN41","PN42","PN43","PN44","PN45","PN46","PN47","PN48","PN49","PN50","PN51","PN52","PN53","PN54","PN55","PN56","PN57","PN58","PN59","PN60","PN61","PN62","PN63","PN64","PN65","PN66","PN67","PN68","PN69","PN70","PN71","PN72","PN73","PN74","PN75","PN76","PN77","PN78","PN79","PN80","PN81","PN82","PN83","PN84","PN85","PN86"
1,NA,NA,31,91,232,NA,247,259,264,294,NA,434,444,NA,494,NA,533,536,NA,548,567,581,589,632,NA,657,721,730,756,757,NA,1018,1065,1067,1097,1099,1125,NA,1186,1222,1225,1262,1296,1297,1366,1419,1542,1543,1622,1643,1679,1734,1741,1760,1764,1785,1795,1849,NA,1883,NA,1976,2014,2015,NA,2158,2175,2208,2254,2267,2288,NA,2313,2339,2340,2372,2413,2415,2454,2462,2466,2468,2475,2578,NA,NA
2,NA,29,31,NA,232,NA,247,NA,NA,NA,NA,NA,444,NA,NA,498,NA,536,NA,NA,561,574,583,632,NA,NA,721,NA,756,757,NA,1018,1065,NA,NA,1099,NA,NA,NA,NA,1225,1262,1295,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,NA,NA,NA,NA,2179,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
3,9,30,32,77,NA,242,NA,259,NA,294,295,NA,NA,481,NA,514,NA,536,NA,548,NA,581,591,594,NA,660,721,738,NA,975,987,1028,NA,1067,NA,NA,1101,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,NA,1787,1818,NA,1933,1934,NA,1979,2049,NA,2168,NA,2176,NA,NA,NA,2300,NA,NA,2364,NA,2405,NA,NA,NA,NA,NA,NA,2579,NA,NA
4,NA,NA,NA,NA,143,NA,243,NA,264,NA,NA,434,435,NA,NA,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,NA,NA,NA,1029,NA,1068,1098,NA,NA,NA,NA,NA,1261,NA,NA,NA,NA,1431,NA,NA,1623,1644,1682,1741,NA,NA,1768,NA,NA,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2288,NA,2307,2314,NA,2369,NA,2415,NA,2455,2463,NA,2475,2476,2580,2617
5,9,30,32,77,NA,242,NA,259,NA,294,295,NA,NA,481,NA,514,NA,534,NA,548,NA,580,591,593,NA,660,721,738,NA,975,986,1028,NA,1067,NA,NA,1100,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1622,NA,NA,NA,NA,1757,1767,NA,1787,1805,NA,1933,1934,NA,1979,2049,NA,2168,NA,2176,NA,NA,NA,NA,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,2579,NA,NA
6,NA,NA,76,92,NA,233,NA,259,NA,293,426,NA,466,483,484,514,NA,536,547,548,567,581,591,632,644,657,721,735,NA,975,1017,1018,1065,1067,1097,NA,1126,1127,1200,1218,1260,NA,1296,1365,1366,1430,1542,1543,1622,NA,NA,NA,NA,1746,1767,1786,1795,1824,1881,1909,1938,1978,2014,2080,2155,2168,NA,2223,NA,NA,NA,2289,NA,NA,2364,NA,2413,NA,2451,NA,NA,2467,NA,2560,NA,NA
7,NA,NA,37,92,232,NA,247,259,NA,294,NA,434,445,NA,494,NA,533,536,NA,548,567,581,589,632,633,657,721,730,756,772,1017,1018,1065,1067,1097,1099,1125,NA,1200,1222,1242,1262,1296,1297,1366,1427,1542,1543,1622,1643,1677,1734,1741,1760,1767,1786,1795,1850,1870,1883,NA,1977,2014,2015,NA,2156,2175,2211,2254,2267,2288,NA,2313,2339,2340,2365,2413,2415,2454,NA,2466,2468,2475,2559,NA,NA
8,9,30,31,83,232,NA,247,259,NA,294,295,NA,444,483,NA,507,NA,536,NA,NA,567,581,583,632,NA,657,721,738,756,757,1002,1018,1065,1067,NA,1099,1108,NA,1142,NA,1225,1262,1296,1340,NA,1421,1542,1543,1622,NA,1679,NA,NA,1760,1767,1769,NA,1799,NA,1883,1938,1976,2014,2015,NA,2168,NA,2180,2255,2267,NA,NA,NA,NA,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
9,NA,NA,31,NA,232,NA,247,259,264,294,NA,434,443,NA,495,NA,533,NA,NA,NA,561,581,588,632,NA,NA,NA,730,756,757,NA,1018,1065,1067,1089,1099,NA,NA,1186,1222,1225,1262,NA,1297,NA,1419,1457,NA,1622,1643,1679,1734,1741,1760,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2158,2175,2208,2255,2267,2288,NA,2313,2339,2340,2376,2413,2415,2454,2462,2466,2469,2475,2499,2583,2584
10,NA,NA,76,120,NA,233,NA,256,NA,292,426,NA,NA,468,NA,NA,NA,536,547,560,NA,NA,NA,627,656,714,721,735,NA,975,1017,NA,NA,1066,NA,NA,1126,1127,1216,NA,1260,NA,1296,1365,1406,NA,NA,1557,1562,NA,NA,NA,NA,1742,NA,NA,1789,NA,1882,1910,1938,NA,2010,2142,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,30,76,92,NA,233,NA,259,NA,293,426,NA,466,483,NA,514,NA,536,547,548,567,581,591,632,645,669,721,735,NA,975,1017,1025,NA,1067,NA,NA,1126,1127,1169,NA,1260,NA,1296,1364,1366,1430,1542,1555,1572,NA,NA,NA,NA,1742,1767,NA,1794,1824,1882,1910,1938,1978,2014,2143,2155,2168,NA,2223,NA,NA,NA,2297,NA,NA,2364,NA,2413,NA,NA,NA,NA,NA,NA,2560,NA,NA
