"RN","T"
1,67417.4249204457
2,69771.1215056576
3,38693.684143911
4,28595.7042484816
5,34190.2712639592
6,49554.5053743717
7,62757.7000143156
8,73614.5257429716
9,62397.4676812271
10,77193.9252584022
11,16961.1337189617
12,100286.14426192
13,74039.6661131493
14,47394.4509846594
15,75811.2263248078
16,68955.4640686223
17,81653.0215630607
18,77830.8472767503
19,115142.199335478
20,48297.1239418595
21,78999.161427073
22,68537.7868105873
23,64382.2615164137
24,62748.7003473818
25,98045.3287784514
26,41059.454931763
27,78047.7434500563
28,57892.496799014
29,71022.8079281393
30,44614.8611734482
31,37128.9095697068
32,60183.2461653549
33,42982.5289366466
34,79211.3333467311
35,42654.6709110822
36,47329.8893760718
37,41119.2440269089
38,52789.4910439801
39,35003.4006148578
40,39806.9008503258
41,60260.8779865956
42,47134.9933698552
43,67073.6249258323
44,64546.0765175183
45,25024.6523183598
46,56973.2730368774
47,26763.3125316926
48,51221.3868926834
49,72691.0742285114
50,80228.4820632576
51,61692.0425312159
52,66450.3563931681
53,94925.0074950983
54,70134.7583432658
55,53650.6424966646
56,45985.2052270839
57,43980.827939893
58,53903.0801839505
59,42745.1878860674
60,45512.0369782994
61,48498.0307223258
62,54900.4073641389
63,40588.0161679051
64,46865.0814913507
65,97450.3563936096
66,60701.038669501
67,70655.4734991324
68,57355.9703687347
69,50367.5902618681
70,32449.4762076473
71,76543.660117657
72,92155.1243665451
73,93556.7437258308
74,71400.136092029
75,62355.8066572273
76,51313.6946599822
77,62850.7557883951
78,75911.501309114
79,72288.3758095838
80,62787.4073311525
81,70618.0857154633
82,86567.0285573802
83,107318.354659211
84,41171.2402372898
85,56995.9099308022
86,54002.6844609629
