"wellN","RN1","RN2","RN3","RN4","RN5","RN6","RN7","RN8","RN9","RN10","RN11","RN12","RN13","RN14","RN15","RN16","RN17","RN18","RN19","RN20","RN21","RN22","RN23","RN24","RN25","RN26","RN27","RN28","RN29","RN30","RN31","RN32","RN33","RN34","RN35","RN36","RN37","RN38","RN39","RN40","RN41","RN42","RN43","RN44","RN45","RN46","RN47","RN48","RN49","RN50","RN51","RN52","RN53","RN54","RN55","RN56","RN57","RN58","RN59","RN60","RN61","RN62","RN63","RN64","RN65","RN66","RN67","RN68","RN69","RN70","RN71","RN72","RN73","RN74","RN75","RN76","RN77","RN78","RN79","RN80","RN81","RN82","RN83","RN84","RN85","RN86"
1,NA,NA,0.00288938659596888,0.00210036030378738,0.00378576122793692,NA,0.00389925988311236,0.00363382615831358,0.00192749401784727,0.0029147935197098,NA,0.00215917288533112,0.00510897652512686,NA,0.00260139826749632,NA,0.00258421135030995,0.00223582722640003,NA,0.00200798830558202,0.00477453158419012,0.00286010295729743,0.00294557206412638,0.00297150593325971,NA,0.00241421709252283,0.00220978297809157,0.00373149866131253,0.00410337684672995,0.013497065784134,NA,0.00293874416217689,0.00627253952921922,0.00331923513725082,0.00364653862875823,0.0055612887394582,0.00199439259761791,NA,0.00263201070246329,0.00251370214146064,0.0421506264942518,0.005530927511797,0.00214729458782805,0.00431933514878184,0.00194119252165062,0.16515414730511,0.132580522961445,0.00253414217476982,0.00267095054300675,0.00267442347973057,0.00378722434636351,0.00242868620048039,0.00221544326850281,0.00331908397550437,0.23671376200721,0.00689510830132987,0.00194924437354976,0.0429660551187197,NA,0.00278287241221534,NA,0.00476330504676632,0.00199257117509451,0.00358639953730595,NA,0.00367725565341616,0.00210090584573384,0.00296237991043393,0.00455993505276494,0.00548066591471864,0.00300354618200876,NA,0.00231763129396177,0.00314687203213719,0.00297150593325971,0.0045620866169668,0.00264982850970974,0.00301350567377823,0.00303855385091609,0.00191298885287635,0.00210090584573384,0.00250390000960377,0.00209313260422146,0.166566519919353,NA,NA
2,NA,0.0188422463018464,0.0191155401881869,NA,0.0214706507590822,NA,0.0244511930023196,NA,NA,NA,NA,NA,0.0193780268081571,NA,NA,0.0188284639106633,NA,0.0202953410299292,NA,NA,0.019049865007188,0.0287385436060852,0.0285227328565643,0.0239332562666621,NA,NA,0.0201380041011481,NA,0.0228675354995482,0.0250881625655651,NA,0.0274087119335514,0.0269377104995597,NA,NA,0.0413194649183996,NA,NA,NA,NA,0.0277613589074076,0.0412451574702059,0.0199794067327221,0.0185373075665412,NA,0.02894177739901,0.0429913549228994,NA,NA,0.0199845768629497,0.0241230337118578,0.0192743334972763,NA,NA,0.029302185256152,0.0269377104995597,NA,0.0331943994857784,NA,0.0262645410147176,NA,0.0191712340192554,NA,NA,NA,NA,NA,0.0212754310833155,0.0279932271661501,0.0411192006278402,NA,NA,NA,0.0209688020331809,0.0239332562666621,0.0304794951242655,0.0211949836987865,NA,NA,NA,NA,NA,NA,0.02894177739901,NA,NA
3,0.0151874507491686,0.0186258822245846,0.0368207925454798,0.0178291903957312,NA,0.0111422619030549,NA,0.0124011347817734,NA,0.0110025772365231,0.0272322189877494,NA,NA,0.0190232149945114,NA,0.0222013767769358,NA,0.0457621441118951,NA,0.0127509827915103,NA,0.0218714537675065,0.0240191392728769,0.0381314412658619,NA,0.0141149023866588,0.0452374826026675,0.0135942692623297,NA,0.0131248927393972,0.021955289987953,0.0256008374380063,NA,0.0114354976463213,NA,NA,0.0201625865144874,0.0111422619030549,0.024453339657357,NA,0.0112532230164557,NA,0.0402977248509532,0.0146703865414419,0.0126612983423404,0.0104183784192102,0.0099411658523105,0.0143454485791977,0.00995747309045027,NA,NA,NA,NA,0.0114422398845953,0.0101911119543716,NA,0.0129057808165459,0.0112551572640257,NA,0.0377975293465155,0.019010116837564,NA,0.0189582216575244,0.0152121965803061,NA,0.0145486802566718,NA,0.0543418513342669,NA,NA,NA,0.0088860106287096,NA,NA,0.0543418513342669,NA,0.0625504195145087,NA,NA,NA,NA,NA,NA,0.0101911119543716,NA,NA
4,NA,NA,NA,NA,0.0358341708710602,NA,0.0215432718433711,NA,0.077948782421118,NA,NA,0.0148214163208153,0.0133278541741963,NA,NA,NA,0.0154858033062861,NA,NA,NA,0.0134961269303815,NA,NA,NA,NA,NA,NA,NA,0.0199090509588968,NA,NA,NA,0.019489880226046,NA,0.0162284301278258,0.0156335677594147,NA,NA,NA,NA,NA,0.015703449190228,NA,NA,NA,NA,0.0155921148565671,NA,NA,0.0384109066784289,0.0244843209473718,0.0783784842682893,0.0149063253388714,NA,NA,0.0162536778666327,NA,NA,NA,NA,NA,0.014896361331339,NA,NA,NA,NA,0.0278601856539056,NA,0.0210738559760304,0.0189509259019354,0.0161850460972979,NA,0.0149938661937867,0.0312962134051742,NA,0.0191634834218999,NA,0.0162284301278258,NA,0.07868373741121,0.0280497370776307,NA,0.0144836483602912,0.0153483956736394,0.0832766193305125,0.13206185995172
5,0.018495488223572,0.0231254430133745,0.0295358929315722,0.0179862057494145,NA,0.0117056680328314,NA,0.0121588793994649,NA,0.0109751285597179,0.0319953717482864,NA,NA,0.0200843040613219,NA,0.0285802732695464,NA,0.0525425876137419,NA,0.0129594706329068,NA,0.022123293285894,0.0236825817523601,0.0394656564660922,NA,0.0139745818363803,0.0525425876137419,0.0131861946492735,NA,0.012752753326845,0.0235688643391429,0.0254776030709409,NA,0.0113266443606282,NA,NA,0.0206965545443385,0.0117056680328314,0.0223356590053595,NA,0.0111434314121351,NA,0.0491951999799882,0.0141014020849779,0.0129360941988988,0.0104195251932369,0.00999784104457628,0.0140915955155597,0.0100360622824878,NA,NA,NA,NA,0.0113345162636024,0.0102232992623535,NA,0.0131921132202963,0.0112078671615937,NA,0.0393106922590763,0.0200362006660941,NA,0.0198774342927204,0.014629592131989,NA,0.0140008423205914,NA,0.0427021297547156,NA,NA,NA,NA,NA,NA,0.0427021297547156,NA,0.0556553764184584,NA,NA,NA,NA,NA,NA,0.0102232992623535,NA,NA
6,NA,NA,0.0221534342453859,0.021026727019018,NA,0.010772440600835,NA,0.0234385239895388,NA,0.0218428910150401,0.0103465137982608,NA,0.00646905824817133,0.0109052050096611,0.00551311841242544,0.00522543313283928,NA,0.00690140278361321,0.0073919971927935,0.0187653082083363,0.00611953295215023,0.0065172785611628,0.00693472373616861,0.00826983172831445,0.00976252110145835,0.0465614766413601,0.00683554382357406,0.0282205239177695,NA,0.0192912649716559,0.0125337467287082,0.00693472373616861,0.00520243304982602,0.02146689567736,0.00519328706674873,NA,0.015772794396478,0.0104979038530844,0.105899123922204,0.00557909474701324,0.00905241411681297,NA,0.00656428070394515,0.0316136163889568,0.0167550723470373,0.00770027420944884,0.00709575828086012,0.0717308770898553,0.0164366482168103,NA,NA,NA,NA,0.0220704160400394,0.00732815735032322,0.00551510375136108,0.0169999555979604,0.0078701846015082,0.00952178153269063,0.0071196934682568,0.0112382265432567,0.00602664598930923,0.015772794396478,0.126755218996941,0.00789268364985761,0.0316136163889568,NA,0.0136098089651368,NA,NA,NA,0.00924792295058183,NA,NA,0.00863011494150425,NA,0.00863011494150425,NA,0.00584688647881849,NA,NA,0.00560738952729228,NA,0.00740958826737223,NA,NA
7,NA,NA,0.00827519280247688,0.00648020789102345,0.0112384532521222,NA,0.0108074690321409,0.0127037605376648,NA,0.0100490150885909,NA,0.00696839098422725,0.0207247677411697,NA,0.00912335925258568,NA,0.0084734061109984,0.00606123165681733,NA,0.00630602981211605,0.0185969549284008,0.0073196818279527,0.00757244028631177,0.00787424029664603,0.00561846637511789,0.00769772036986989,0.00599518814664899,0.0128836867713472,0.0118970195693533,0.0527183124035375,0.00569583408699854,0.007563030761202,0.0167576724124386,0.0116830121706103,0.0126119855455024,0.0123488903379249,0.00605019277292169,NA,0.00828476727145228,0.0087926772472325,0.0709190883105333,0.0123069143126718,0.00582255381957322,0.0151192360059403,0.00606946833015242,0.0515877150591884,0.040093014226999,0.00810455208744273,0.0092085094522302,0.00764537074545953,0.0105542073982748,0.00691511239759538,0.00716877127403226,0.0116824946526383,0.0420898337584492,0.0199209351697531,0.00609219793190079,0.0498043625265616,0.00573812094842338,0.00722477129905264,NA,0.0182646525756604,0.0060469703265248,0.0118656283545792,NA,0.0124642403845245,0.0062995157589993,0.00831312255620918,0.0119365480161323,0.0122368944471864,0.00989597085139361,NA,0.00754138548841227,0.00908673338032087,0.00787424029664603,0.0119278752020777,0.00720598523535341,0.00992366056132666,0.01099936454641,NA,0.0062995157589993,0.00876747964473211,0.0067486106411142,0.0770613185231225,NA,NA
8,0.0146789803463199,0.0163022371351911,0.0202051976400396,0.0110681852348249,0.0100969065445483,NA,0.010708819962936,0.0132864678740023,NA,0.0111523574251253,0.0116004376068273,NA,0.0111804755193893,0.0105952792439594,NA,0.0167683763274256,NA,0.0224466205633816,NA,NA,0.010839971359083,0.0529658736047769,0.0539491668113302,0.0352651079604382,NA,0.0113501810474683,0.0220180612883213,0.0142009173631616,0.0106187008750108,0.0189652669486349,0.0111851961062182,0.0505363787411385,0.0129156937070604,0.012106641712054,NA,0.0155991746958464,0.0112548361096878,NA,0.0146568094397087,NA,0.0191208892067568,0.0155458422077977,0.0213301794546755,0.0152503874532841,NA,0.0193044362342316,0.0188145595545854,0.0118002836541194,0.0101707058532779,NA,0.0105455393134787,NA,NA,0.0121060956191884,0.0192348279653907,0.0129310684568131,NA,0.0242962913948998,NA,0.0427708567557172,0.0106433405009714,0.0108132589895824,0.0110443069823334,0.0146502902134277,NA,0.0146502902134277,NA,0.0262301677964661,0.0119400272585748,0.015457319735082,NA,NA,NA,NA,0.0352651079604382,0.0123465536466747,0.0259842264195045,NA,NA,NA,NA,NA,NA,0.0192348279653907,NA,NA
9,NA,NA,0.00251636252174558,NA,0.00592052402622216,NA,0.00738337328719031,0.00285335588847086,0.0028904644372055,0.00246640041624619,NA,0.00258602619593834,0.00481944547394439,NA,0.0026956559268482,NA,0.0030957754188687,NA,NA,NA,0.00471941223360978,0.00282835116736584,0.00285576285621898,0.00273868564313777,NA,NA,NA,0.00289744809818893,0.00685521628905854,0.00550148534790477,NA,0.00284076466483916,0.0120931147782698,0.00269805158997518,0.00421862467477703,0.0278782185870668,NA,NA,0.00227446076188435,0.00258788063236003,0.00719293118354045,0.0274404333736311,NA,0.00317881054882531,NA,0.00804250062521607,0.66335966400395,NA,0.00233087253306558,0.00431771543041187,0.00706355106731819,0.00386838664339593,0.00265134188011381,0.0026979750553722,0.00871293751481711,0.0120931147782698,NA,0.00763092464502956,NA,0.00271187449748488,NA,0.00478589723486726,NA,0.00281767856993268,NA,0.00286577657544613,0.00292302618751392,0.0025945181972773,0.0108035751886311,0.0267075759813572,0.00365605175072198,NA,0.00276434511385036,0.00513520666746821,0.00273868564313777,0.0122097508022372,0.00246576454056418,0.00367375659303719,0.00308041983667309,0.00285820186514467,0.00292302618751392,0.00256914671527596,0.00249751070996045,0.0109604491722512,0.00274626985651401,0.0027154719128449
10,NA,NA,0.0121723422966547,0.0483208956934282,NA,0.113046604996182,NA,0.00917361361836248,NA,0.0104829782519924,0.0170975430106479,NA,NA,0.0171005534229899,NA,NA,NA,0.00591865938187123,0.00877749809653898,0.0460302993125765,NA,NA,NA,0.00615665911919936,0.0176276710796119,0.0356635051686283,0.00589886622602766,0.00941681034616778,NA,0.00821854769938636,0.0167705628293882,NA,NA,0.00938938940999745,NA,NA,0.0214847377369791,0.0926675089895187,0.0156803364731898,NA,0.00569163041966243,NA,0.0057501764650897,0.00960498534761801,0.223832933978049,NA,NA,0.017529102248944,0.0140110284620341,NA,NA,NA,NA,0.010382008340027,NA,NA,0.0490092734621609,NA,0.0135739418557891,0.00575608058804761,0.016842532446503,NA,0.0216426953433441,0.0156844850452975,0.00970935145533386,0.00960498534761801,NA,0.00853501663586472,NA,NA,NA,0.0224781134004916,NA,NA,0.00663303799939316,NA,0.00663303799939316,NA,NA,NA,NA,NA,NA,NA,NA,NA
